deltaT, accX, accY, accZ, thetaX, thetaY, thetaZ
9796, -0.0212402, -0.0195312, 0.9125977, -0.6860162, 1.3461238, 1.1734073
12368, -0.0280762, -0.0109863, 0.9082032, -0.6902344, 1.3490320, 1.1709991
9796, -0.0227051, -0.0144043, 0.9125977, -0.6965032, 1.3489359, 1.1690555
9776, -0.0268555, -0.0146484, 0.9169922, -0.6985498, 1.3555169, 1.1700389
9776, -0.0170898, -0.0087891, 0.9226075, -0.6977234, 1.3520238, 1.1705687
9784, -0.0246582, -0.0239258, 0.9245606, -0.7130537, 1.3546680, 1.1690373
17396, -0.0183105, -0.0085449, 0.9140625, -0.7095548, 1.3440217, 1.1708165
12088, -0.0180664, -0.0158691, 0.9189454, -0.7104945, 1.3420587, 1.1751542
12440, -0.0270996, -0.0139160, 0.9221192, -0.7141647, 1.3525606, 1.1771429
9816, -0.0227051, -0.0166016, 0.9040528, -0.7189287, 1.3551459, 1.1779475
9792, -0.0273438, -0.0048828, 0.9121094, -0.7161648, 1.3630460, 1.1765536
9780, -0.0327148, -0.0168457, 0.9143067, -0.7205811, 1.3744260, 1.1735063
9788, -0.0197754, -0.0070801, 0.9074707, -0.7157303, 1.3705350, 1.1723872
9760, -0.0175781, -0.0092773, 0.9101563, -0.7122797, 1.3632733, 1.1723651
9820, -0.0209961, -0.0122070, 0.9050293, -0.7097756, 1.3653664, 1.1741316
12328, -0.0212402, -0.0092773, 0.9152832, -0.7114096, 1.3689043, 1.1774770
9824, -0.0239258, -0.0144043, 0.9108887, -0.7097536, 1.3714885, 1.1791343
9788, -0.0241699, -0.0175781, 0.9111329, -0.7183075, 1.3729674, 1.1784274
9804, -0.0217285, -0.0100098, 0.9218750, -0.7148881, 1.3727961, 1.1822549
9788, -0.0200195, -0.0053711, 0.9140625, -0.7052084, 1.3690135, 1.1785359
9768, -0.0195312, -0.0058594, 0.9162598, -0.6980132, 1.3671481, 1.1767297
12388, -0.0285645, -0.0056152, 0.9101563, -0.6900141, 1.3689404, 1.1754208
9804, -0.0300293, -0.0139160, 0.9133301, -0.6955141, 1.3770530, 1.1706659
9772, -0.0178223, -0.0234375, 0.9108887, -0.7123156, 1.3714067, 1.1724759
9808, -0.0212402, -0.0041504, 0.9174805, -0.7061317, 1.3710206, 1.1756600
9756, -0.0241699, -0.0192871, 0.9094239, -0.7185101, 1.3737207, 1.1764645
9792, -0.0231934, -0.0141602, 0.9064942, -0.7205181, 1.3754129, 1.1764446
9804, -0.0200195, -0.0068359, 0.9104004, -0.7137079, 1.3772333, 1.1730616
19636, -0.0205078, -0.0097656, 0.9104004, -0.7140197, 1.3741607, 1.1730196
9828, -0.0300293, -0.0117188, 0.9169922, -0.7123059, 1.3826750, 1.1743738
9816, -0.0256348, -0.0109863, 0.9169922, -0.7133635, 1.3852114, 1.1732831
9832, -0.0180664, -0.0102539, 0.9118653, -0.7087727, 1.3823025, 1.1692283
9816, -0.0141602, -0.0141602, 0.9174805, -0.7116121, 1.3738578, 1.1690710
9816, -0.0234375, -0.0078125, 0.9074707, -0.7081971, 1.3748588, 1.1692016
